ticker,status,rows,train_rows,test_rows,accuracy,prec_default,precision,size_mb,date_start,date_end,error,reason
ICICIPRULI.NS,SKIPPED,,,,,,,1.3,,,,already trained
ICICIGI.NS,SKIPPED,,,,,,,1.2,,,,already trained
INDUSTOWER.NS,SKIPPED,,,,,,,1.7,,,,already trained
IOC.NS,SKIPPED,,,,,,,3.2,,,,already trained
IRCTC.NS,SKIPPED,,,,,,,0.9,,,,already trained
JINDALSTEL.NS,SKIPPED,,,,,,,3.2,,,,already trained
LUPIN.NS,SKIPPED,,,,,,,2.8,,,,already trained
MCDOWELL-N.NS,FAILED,,,,,,,,,,No data returned,
MUTHOOTFIN.NS,SKIPPED,,,,,,,1.9,,,,already trained
NAUKRI.NS,SKIPPED,,,,,,,2.4,,,,already trained
NMDC.NS,SKIPPED,,,,,,,2.3,,,,already trained
PAGEIND.NS,SKIPPED,,,,,,,2.4,,,,already trained
PERSISTENT.NS,SKIPPED,,,,,,,2.1,,,,already trained
PETRONET.NS,SKIPPED,,,,,,,2.7,,,,already trained
PIIND.NS,SKIPPED,,,,,,,1.9,,,,already trained
PIDILITIND.NS,SKIPPED,,,,,,,3.0,,,,already trained
PNB.NS,SKIPPED,,,,,,,2.7,,,,already trained
POLYCAB.NS,SKIPPED,,,,,,,1.0,,,,already trained
RECLTD.NS,SKIPPED,,,,,,,2.2,,,,already trained
SAIL.NS,SKIPPED,,,,,,,3.8,,,,already trained
SIEMENS.NS,SKIPPED,,,,,,,3.0,,,,already trained
SRF.NS,SKIPPED,,,,,,,2.7,,,,already trained
TORNTPHARM.NS,SKIPPED,,,,,,,2.8,,,,already trained
TRENT.NS,SKIPPED,,,,,,,2.8,,,,already trained
TVSMOTOR.NS,SKIPPED,,,,,,,3.0,,,,already trained
UBL.NS,SKIPPED,,,,,,,2.2,,,,already trained
ADANITRANS.NS,FAILED,,,,,,,,,,No data returned,
UPL.NS,SKIPPED,,,,,,,2.6,,,,already trained
VEDL.NS,SKIPPED,,,,,,,3.5,,,,already trained
VOLTAS.NS,SKIPPED,,,,,,,2.8,,,,already trained
ZYDUSLIFE.NS,SKIPPED,,,,,,,3.1,,,,already trained
HAL.NS,SKIPPED,,,,,,,1.1,,,,already trained
AARTIIND.NS,SKIPPED,,,,,,,2.8,,,,already trained
ABB.NS,SKIPPED,,,,,,,3.0,,,,already trained
ABCAPITAL.NS,SKIPPED,,,,,,,1.1,,,,already trained
ABFRL.NS,SKIPPED,,,,,,,1.6,,,,already trained
ACC.NS,SKIPPED,,,,,,,2.8,,,,already trained
APLAPOLLO.NS,SKIPPED,,,,,,,1.9,,,,already trained
ASTRAL.NS,SKIPPED,,,,,,,2.4,,,,already trained
ATUL.NS,SKIPPED,,,,,,,2.8,,,,already trained
AUBANK.NS,SKIPPED,,,,,,,1.2,,,,already trained
BALKRISIND.NS,SKIPPED,,,,,,,2.5,,,,already trained
BATAINDIA.NS,SKIPPED,,,,,,,2.9,,,,already trained
BHEL.NS,SKIPPED,,,,,,,3.3,,,,already trained
BSOFT.NS,SKIPPED,,,,,,,2.8,,,,already trained
CAMS.NS,SKIPPED,,,,,,,0.8,,,,already trained
CANFINHOME.NS,SKIPPED,,,,,,,2.8,,,,already trained
CDSL.NS,SKIPPED,,,,,,,1.2,,,,already trained
CESC.NS,SKIPPED,,,,,,,2.7,,,,already trained
CGPOWER.NS,SKIPPED,,,,,,,2.8,,,,already trained
CONCOR.NS,SKIPPED,,,,,,,2.8,,,,already trained
COROMANDEL.NS,SKIPPED,,,,,,,2.5,,,,already trained
CROMPTON.NS,SKIPPED,,,,,,,1.3,,,,already trained
CUMMINSIND.NS,SKIPPED,,,,,,,2.8,,,,already trained
DEEPAKNTR.NS,SKIPPED,,,,,,,1.9,,,,already trained
DIXON.NS,SKIPPED,,,,,,,1.2,,,,already trained
ELGIEQUIP.NS,SKIPPED,,,,,,,2.9,,,,already trained
EMAMILTD.NS,SKIPPED,,,,,,,2.3,,,,already trained
ESCORTS.NS,SKIPPED,,,,,,,3.5,,,,already trained
EXIDEIND.NS,SKIPPED,,,,,,,2.7,,,,already trained
FEDERALBNK.NS,SKIPPED,,,,,,,3.5,,,,already trained
FORTIS.NS,SKIPPED,,,,,,,2.3,,,,already trained
GLAXO.NS,SKIPPED,,,,,,,2.9,,,,already trained
GMRAIRPORT.NS,SKIPPED,,,,,,,2.4,,,,already trained
GODREJIND.NS,SKIPPED,,,,,,,3.0,,,,already trained
GODREJPROP.NS,SKIPPED,,,,,,,2.1,,,,already trained
GRANULES.NS,SKIPPED,,,,,,,2.5,,,,already trained
GSPL.NS,SKIPPED,,,,,,,2.4,,,,already trained
GUJGASLTD.NS,SKIPPED,,,,,,,1.4,,,,already trained
HFCL.NS,SKIPPED,,,,,,,2.9,,,,already trained
HONAUT.NS,SKIPPED,,,,,,,3.0,,,,already trained
IDFCFIRSTB.NS,SKIPPED,,,,,,,1.4,,,,already trained
IGL.NS,SKIPPED,,,,,,,2.8,,,,already trained
INDHOTEL.NS,SKIPPED,,,,,,,2.8,,,,already trained
INDIAMART.NS,SKIPPED,,,,,,,0.9,,,,already trained
INOXWIND.NS,SKIPPED,,,,,,,1.5,,,,already trained
IRFC.NS,SKIPPED,,,,,,,0.7,,,,already trained
UNITDSPR.NS,FAILED,,,,,,,,,,Only 483 rows (need 500),
JKCEMENT.NS,SKIPPED,,,,,,,2.6,,,,already trained
JUBLFOOD.NS,SKIPPED,,,,,,,2.0,,,,already trained
KAJARIACER.NS,SKIPPED,,,,,,,2.9,,,,already trained
KALYANKJIL.NS,SKIPPED,,,,,,,0.7,,,,already trained
KANSAINER.NS,SKIPPED,,,,,,,3.0,,,,already trained
KEC.NS,SKIPPED,,,,,,,2.8,,,,already trained
KPITTECH.NS,SKIPPED,,,,,,,1.0,,,,already trained
LALPATHLAB.NS,SKIPPED,,,,,,,1.4,,,,already trained
LAURUSLABS.NS,SKIPPED,,,,,,,1.3,,,,already trained
LICHSGFIN.NS,SKIPPED,,,,,,,2.8,,,,already trained
LTTS.NS,SKIPPED,,,,,,,1.3,,,,already trained
MARICO.NS,SKIPPED,,,,,,,3.5,,,,already trained
MAXHEALTH.NS,SKIPPED,,,,,,,0.8,,,,already trained
MCX.NS,SKIPPED,,,,,,,1.9,,,,already trained
METROPOLIS.NS,SKIPPED,,,,,,,1.0,,,,already trained
MFSL.NS,SKIPPED,,,,,,,3.4,,,,already trained
MOTHERSON.NS,SKIPPED,,,,,,,3.0,,,,already trained
MPHASIS.NS,SKIPPED,,,,,,,2.7,,,,already trained
MRF.NS,SKIPPED,,,,,,,2.8,,,,already trained
NATCOPHARM.NS,SKIPPED,,,,,,,3.5,,,,already trained
NBCC.NS,SKIPPED,,,,,,,1.8,,,,already trained
NCC.NS,SKIPPED,,,,,,,2.9,,,,already trained
NHPC.NS,SKIPPED,,,,,,,2.1,,,,already trained
LTIM.NS,FAILED,,,,,,,,,,No data returned,
NYKAA.NS,SKIPPED,,,,,,,0.6,,,,already trained
ISEC.NS,FAILED,,,,,,,,,,No data returned,
NLCINDIA.NS,OK,6160,4928,1232,0.5106,0.4991,0.5690,3.1,2001-08-10,2026-05-18,,
TATAMOTORS.NS,FAILED,,,,,,,,,,No data returned,
OBEROIRLTY.NS,OK,3588,2870,718,0.4875,0.5191,0.4805,2.1,2011-10-25,2026-05-18,,
OIL.NS,OK,3851,3080,771,0.4981,0.5230,0.5872,2.2,2010-10-06,2026-05-18,,
OBEROIRLTY.NS,OK,3588,2870,718,0.4861,0.5163,0.4805,2.1,2011-10-25,2026-05-18,,
OFSS.NS,OK,5677,4541,1136,0.4947,0.4807,0.4677,2.8,2003-06-18,2026-05-18,,
PVRINOX.NS,OK,596,476,120,0.5250,0.4727,0.2857,0.4,2023-12-08,2026-05-18,,
OIL.NS,OK,3851,3080,771,0.4955,0.5201,0.5896,2.2,2010-10-06,2026-05-18,,
PHOENIXLTD.NS,OK,4450,3560,890,0.5067,0.5169,0.5196,2.2,2008-04-25,2026-05-18,,
OFSS.NS,OK,5677,4541,1136,0.4903,0.4759,0.4628,2.8,2003-06-18,2026-05-18,,
PRESTIGE.NS,OK,3584,2867,717,0.5160,0.5400,0.5670,2.0,2011-11-03,2026-05-18,,
OLECTRA.NS,OK,5675,4540,1135,0.5498,0.4978,0.5357,2.7,2003-06-19,2026-05-18,,
NLCINDIA.NS,OK,6160,4928,1232,0.5114,0.5000,0.5636,3.1,2001-08-10,2026-05-18,,
PVRINOX.NS,SKIPPED,,,,,,,0.4,,,,already trained
RITES.NS,OK,1691,1352,339,0.4956,0.4667,0.4512,1.1,2019-07-16,2026-05-18,,
OLECTRA.NS,OK,5675,4540,1135,0.5471,0.4913,0.5238,2.8,2003-06-19,2026-05-18,,
PHOENIXLTD.NS,OK,4450,3560,890,0.5067,0.5170,0.5246,2.2,2008-04-25,2026-05-18,,
PRESTIGE.NS,OK,3584,2867,717,0.5160,0.5400,0.5670,2.0,2011-11-03,2026-05-18,,
RITES.NS,SKIPPED,,,,,,,1.1,,,,already trained
RAIN.NS,OK,4486,3588,898,0.5434,0.5296,0.5486,2.5,2008-03-03,2026-05-18,,
SBICARD.NS,OK,1276,1020,256,0.5039,0.4741,0.4458,0.8,2021-03-18,2026-05-18,,
RAIN.NS,FAILED,,,,,,,,,,A process in the process pool was terminated abruptly while the future was running or pending.,
RAJESHEXPO.NS,FAILED,,,,,,,,,,A process in the process pool was terminated abruptly while the future was running or pending.,
RAMCOCEM.NS,FAILED,,,,,,,,,,A process in the process pool was terminated abruptly while the future was running or pending.,
SBICARD.NS,FAILED,,,,,,,,,,A process in the process pool was terminated abruptly while the future was running or pending.,
SCHAEFFLER.NS,FAILED,,,,,,,,,,A process in the process pool was terminated abruptly while the future was running or pending.,
SHREECEM.NS,FAILED,,,,,,,,,,A process in the process pool was terminated abruptly while the future was running or pending.,
SJVN.NS,FAILED,,,,,,,,,,A process in the process pool was terminated abruptly while the future was running or pending.,
SKFINDIA.NS,FAILED,,,,,,,,,,A process in the process pool was terminated abruptly while the future was running or pending.,
SOBHA.NS,FAILED,,,,,,,,,,A process in the process pool was terminated abruptly while the future was running or pending.,
SONACOMS.NS,FAILED,,,,,,,,,,A process in the process pool was terminated abruptly while the future was running or pending.,
RAJESHEXPO.NS,OK,5641,4512,1129,0.5509,0.4833,0.5467,3.0,2003-06-18,2026-05-18,,
RAMCOCEM.NS,OK,5675,4540,1135,0.4881,0.4937,0.4843,2.9,2003-06-18,2026-05-18,,
SJVN.NS,OK,3697,2957,740,0.5081,0.4853,0.5084,2.0,2011-05-20,2026-05-18,,
RELIANCE.NS,SKIPPED,,,,,,,3.6,,,,already trained
TCS.NS,SKIPPED,,,,,,,2.8,,,,already trained
HDFCBANK.NS,SKIPPED,,,,,,,3.3,,,,already trained
INFY.NS,SKIPPED,,,,,,,3.2,,,,already trained
ICICIBANK.NS,SKIPPED,,,,,,,2.9,,,,already trained
HINDUNILVR.NS,SKIPPED,,,,,,,3.3,,,,already trained
ITC.NS,SKIPPED,,,,,,,3.5,,,,already trained
SBIN.NS,SKIPPED,,,,,,,3.6,,,,already trained
BHARTIARTL.NS,SKIPPED,,,,,,,2.9,,,,already trained
KOTAKBANK.NS,SKIPPED,,,,,,,2.9,,,,already trained
LT.NS,SKIPPED,,,,,,,2.8,,,,already trained
AXISBANK.NS,SKIPPED,,,,,,,3.0,,,,already trained
ASIANPAINT.NS,SKIPPED,,,,,,,2.8,,,,already trained
MARUTI.NS,SKIPPED,,,,,,,2.5,,,,already trained
TITAN.NS,SKIPPED,,,,,,,3.6,,,,already trained
SUNPHARMA.NS,SKIPPED,,,,,,,3.3,,,,already trained
BAJFINANCE.NS,SKIPPED,,,,,,,2.9,,,,already trained
WIPRO.NS,SKIPPED,,,,,,,3.2,,,,already trained
ULTRACEMCO.NS,SKIPPED,,,,,,,2.7,,,,already trained
ONGC.NS,SKIPPED,,,,,,,3.2,,,,already trained
NTPC.NS,SKIPPED,,,,,,,2.7,,,,already trained
JSWSTEEL.NS,SKIPPED,,,,,,,2.6,,,,already trained
POWERGRID.NS,SKIPPED,,,,,,,2.4,,,,already trained
M&M.NS,SKIPPED,,,,,,,3.5,,,,already trained
ADANIENT.NS,SKIPPED,,,,,,,3.0,,,,already trained
ADANIPORTS.NS,SKIPPED,,,,,,,2.2,,,,already trained
TATASTEEL.NS,SKIPPED,,,,,,,3.6,,,,already trained
HCLTECH.NS,SKIPPED,,,,,,,2.9,,,,already trained
BAJAJFINSV.NS,SKIPPED,,,,,,,3.0,,,,already trained
COALINDIA.NS,SKIPPED,,,,,,,1.9,,,,already trained
INDUSINDBK.NS,SKIPPED,,,,,,,2.9,,,,already trained
TECHM.NS,SKIPPED,,,,,,,2.5,,,,already trained
HINDALCO.NS,SKIPPED,,,,,,,3.4,,,,already trained
DRREDDY.NS,SKIPPED,,,,,,,3.6,,,,already trained
CIPLA.NS,SKIPPED,,,,,,,3.2,,,,already trained
BPCL.NS,SKIPPED,,,,,,,3.2,,,,already trained
EICHERMOT.NS,SKIPPED,,,,,,,3.6,,,,already trained
DIVISLAB.NS,SKIPPED,,,,,,,2.7,,,,already trained
BRITANNIA.NS,SKIPPED,,,,,,,3.6,,,,already trained
APOLLOHOSP.NS,SKIPPED,,,,,,,2.8,,,,already trained
GRASIM.NS,SKIPPED,,,,,,,2.6,,,,already trained
NESTLEIND.NS,SKIPPED,,,,,,,2.2,,,,already trained
SBILIFE.NS,SKIPPED,,,,,,,1.1,,,,already trained
HEROMOTOCO.NS,SKIPPED,,,,,,,2.5,,,,already trained
TATACONSUM.NS,SKIPPED,,,,,,,3.2,,,,already trained
BAJAJ-AUTO.NS,SKIPPED,,,,,,,2.6,,,,already trained
HDFCLIFE.NS,SKIPPED,,,,,,,1.1,,,,already trained
SHRIRAMFIN.NS,SKIPPED,,,,,,,2.7,,,,already trained
ADANIGREEN.NS,SKIPPED,,,,,,,1.1,,,,already trained
AMBUJACEM.NS,SKIPPED,,,,,,,2.7,,,,already trained
AUROPHARMA.NS,SKIPPED,,,,,,,3.4,,,,already trained
BAJAJHLDNG.NS,SKIPPED,,,,,,,2.8,,,,already trained
BANKBARODA.NS,SKIPPED,,,,,,,2.6,,,,already trained
BEL.NS,SKIPPED,,,,,,,3.0,,,,already trained
BERGEPAINT.NS,SKIPPED,,,,,,,2.8,,,,already trained
BIOCON.NS,SKIPPED,,,,,,,2.7,,,,already trained
BOSCHLTD.NS,SKIPPED,,,,,,,2.6,,,,already trained
CANBK.NS,SKIPPED,,,,,,,2.8,,,,already trained
CHOLAFIN.NS,SKIPPED,,,,,,,2.7,,,,already trained
COLPAL.NS,SKIPPED,,,,,,,2.6,,,,already trained
DABUR.NS,SKIPPED,,,,,,,3.0,,,,already trained
DLF.NS,SKIPPED,,,,,,,2.2,,,,already trained
GAIL.NS,SKIPPED,,,,,,,3.2,,,,already trained
GODREJCP.NS,SKIPPED,,,,,,,2.9,,,,already trained
HAVELLS.NS,SKIPPED,,,,,,,2.7,,,,already trained
ICICIPRULI.NS,SKIPPED,,,,,,,1.3,,,,already trained
ICICIGI.NS,SKIPPED,,,,,,,1.2,,,,already trained
INDUSTOWER.NS,SKIPPED,,,,,,,1.7,,,,already trained
IOC.NS,SKIPPED,,,,,,,3.2,,,,already trained
IRCTC.NS,SKIPPED,,,,,,,0.9,,,,already trained
JINDALSTEL.NS,SKIPPED,,,,,,,3.2,,,,already trained
LUPIN.NS,SKIPPED,,,,,,,2.8,,,,already trained
MCDOWELL-N.NS,FAILED,,,,,,,,,,No data returned,
MUTHOOTFIN.NS,SKIPPED,,,,,,,1.9,,,,already trained
NAUKRI.NS,SKIPPED,,,,,,,2.4,,,,already trained
NMDC.NS,SKIPPED,,,,,,,2.3,,,,already trained
PAGEIND.NS,SKIPPED,,,,,,,2.4,,,,already trained
PERSISTENT.NS,SKIPPED,,,,,,,2.1,,,,already trained
PETRONET.NS,SKIPPED,,,,,,,2.7,,,,already trained
PIIND.NS,SKIPPED,,,,,,,1.9,,,,already trained
PIDILITIND.NS,SKIPPED,,,,,,,3.0,,,,already trained
PNB.NS,SKIPPED,,,,,,,2.7,,,,already trained
POLYCAB.NS,SKIPPED,,,,,,,1.0,,,,already trained
RECLTD.NS,SKIPPED,,,,,,,2.2,,,,already trained
SAIL.NS,SKIPPED,,,,,,,3.8,,,,already trained
SIEMENS.NS,SKIPPED,,,,,,,3.0,,,,already trained
SRF.NS,SKIPPED,,,,,,,2.7,,,,already trained
TORNTPHARM.NS,SKIPPED,,,,,,,2.8,,,,already trained
TRENT.NS,SKIPPED,,,,,,,2.8,,,,already trained
TVSMOTOR.NS,SKIPPED,,,,,,,3.0,,,,already trained
UBL.NS,SKIPPED,,,,,,,2.2,,,,already trained
ADANITRANS.NS,FAILED,,,,,,,,,,No data returned,
UPL.NS,SKIPPED,,,,,,,2.6,,,,already trained
VEDL.NS,SKIPPED,,,,,,,3.5,,,,already trained
VOLTAS.NS,SKIPPED,,,,,,,2.8,,,,already trained
ZYDUSLIFE.NS,SKIPPED,,,,,,,3.1,,,,already trained
HAL.NS,SKIPPED,,,,,,,1.1,,,,already trained
AARTIIND.NS,SKIPPED,,,,,,,2.8,,,,already trained
ABB.NS,SKIPPED,,,,,,,3.0,,,,already trained
ABCAPITAL.NS,SKIPPED,,,,,,,1.1,,,,already trained
ABFRL.NS,SKIPPED,,,,,,,1.6,,,,already trained
ACC.NS,SKIPPED,,,,,,,2.8,,,,already trained
APLAPOLLO.NS,SKIPPED,,,,,,,1.9,,,,already trained
ASTRAL.NS,SKIPPED,,,,,,,2.4,,,,already trained
ATUL.NS,SKIPPED,,,,,,,2.8,,,,already trained
AUBANK.NS,SKIPPED,,,,,,,1.2,,,,already trained
BALKRISIND.NS,SKIPPED,,,,,,,2.5,,,,already trained
BATAINDIA.NS,SKIPPED,,,,,,,2.9,,,,already trained
BHEL.NS,SKIPPED,,,,,,,3.3,,,,already trained
BSOFT.NS,SKIPPED,,,,,,,2.8,,,,already trained
CAMS.NS,SKIPPED,,,,,,,0.8,,,,already trained
CANFINHOME.NS,SKIPPED,,,,,,,2.8,,,,already trained
CDSL.NS,SKIPPED,,,,,,,1.2,,,,already trained
CESC.NS,SKIPPED,,,,,,,2.7,,,,already trained
CGPOWER.NS,SKIPPED,,,,,,,2.8,,,,already trained
CONCOR.NS,SKIPPED,,,,,,,2.8,,,,already trained
COROMANDEL.NS,SKIPPED,,,,,,,2.5,,,,already trained
CROMPTON.NS,SKIPPED,,,,,,,1.3,,,,already trained
CUMMINSIND.NS,SKIPPED,,,,,,,2.8,,,,already trained
DEEPAKNTR.NS,SKIPPED,,,,,,,1.9,,,,already trained
DIXON.NS,SKIPPED,,,,,,,1.2,,,,already trained
ELGIEQUIP.NS,SKIPPED,,,,,,,2.9,,,,already trained
EMAMILTD.NS,SKIPPED,,,,,,,2.3,,,,already trained
ESCORTS.NS,SKIPPED,,,,,,,3.5,,,,already trained
EXIDEIND.NS,SKIPPED,,,,,,,2.7,,,,already trained
FEDERALBNK.NS,SKIPPED,,,,,,,3.5,,,,already trained
FORTIS.NS,SKIPPED,,,,,,,2.3,,,,already trained
GLAXO.NS,SKIPPED,,,,,,,2.9,,,,already trained
GMRAIRPORT.NS,SKIPPED,,,,,,,2.4,,,,already trained
GODREJIND.NS,SKIPPED,,,,,,,3.0,,,,already trained
GODREJPROP.NS,SKIPPED,,,,,,,2.1,,,,already trained
GRANULES.NS,SKIPPED,,,,,,,2.5,,,,already trained
GSPL.NS,SKIPPED,,,,,,,2.4,,,,already trained
GUJGASLTD.NS,SKIPPED,,,,,,,1.4,,,,already trained
HFCL.NS,SKIPPED,,,,,,,2.9,,,,already trained
HONAUT.NS,SKIPPED,,,,,,,3.0,,,,already trained
IDFCFIRSTB.NS,SKIPPED,,,,,,,1.4,,,,already trained
IGL.NS,SKIPPED,,,,,,,2.8,,,,already trained
INDHOTEL.NS,SKIPPED,,,,,,,2.8,,,,already trained
INDIAMART.NS,SKIPPED,,,,,,,0.9,,,,already trained
INOXWIND.NS,SKIPPED,,,,,,,1.5,,,,already trained
IRFC.NS,SKIPPED,,,,,,,0.7,,,,already trained
UNITDSPR.NS,FAILED,,,,,,,,,,Only 483 rows (need 500),
